step,Vmcp,Vphos,Tstep
1,0,0,1
2,0,0.25,1
3,0,0.5,1
4,0,0.75,1
5,0,1,1
6,-0.1,1,2
7,-0.2,1,2
8,-0.3,1,2
9,-0.4,1,2
10,-0.5,1,2
11,-0.6,1,2
12,-0.7,1,2
13,-0.8,1,2
14,-0.9,1,2
15,-1,1,2
16,-1,1.1,5
17,-1,1.2,5
18,-1,1.3,5
19,-1,1.4,5
20,-1,1.5,5
21,-1,1.6,5
22,-1,1.7,5
23,-1,1.8,5
24,-1,1.9,5
25,-1,2,5
26,-1,2.1,10
27,-1,2.2,10
28,-1,2.3,10
29,-1,2.4,10
30,-1,2.5,10
31,-1,2.6,10
32,-1,2.7,10
33,-1,2.8,10
34,-1,2.9,10
35,-1,3,10
36,-1.1,3,10
37,-1.2,3,10
38,-1.3,3,10
39,-1.4,3,10
40,-1.5,3,10
41,-1.5,3.1,10
42,-1.5,3.2,10
43,-1.5,3.3,10
44,-1.5,3.4,10
45,-1.5,3.5,10
46,-1.5,3.6,10
47,-1.5,3.7,10
48,-1.5,3.8,10
49,-1.5,3.9,10
50,-1.5,4,10
51,-1.5,4.05,10
52,-1.5,4.1,10
53,-1.5,4.15,10
54,-1.5,4.2,10
55,-1.55,4.2,10
56,-1.6,4.2,10
57,-1.65,4.2,10
58,-1.7,4.2,10
59,-1.75,4.2,10
60,-1.8,4.2,10
61,-1.85,4.2,10
62,-1.9,4.2,10
63,-1.95,4.2,10
64,-2,4.2,10
